CLIENTE_NUMBER	FX_IDADE	CEP_GRUPO_RISCO	FX_RENDA	INDICADOR_RESTRITIVO	QTDE_CONSULTAS_CREDITO	RESPOSTA
87	(5) >=46	(5) altissimo	(4) De 2501 a 5000	0	2	0
88	(2) 25 a 34	(2) baixo	(5) 5001 a 7000	0	2	0
89	(1) <=24	(3) medio	(4) De 2501 a 5000	0	3 ou mais	0
90	(1) <=24	(3) medio	(4) De 2501 a 5000	0	3 ou mais	0
91	(5) >=46	(4) alto	(4) De 2501 a 5000	0	2	0
92	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
93	sem informacao	(5) altissimo	(1) nao informado	0	2	1
94	sem informacao	(4) alto	(3) De 1500 a 2500	0	0	0
95	(2) 25 a 34	(2) baixo	(3) De 1500 a 2500	0	2	0
96	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	0	0
97	(3) 35 a 39	(4) alto	(5) 5001 a 7000	0	1	0
98	(5) >=46	(4) alto	(2) <1500	0	1	0
99	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	3 ou mais	0
100	(3) 35 a 39	(5) altissimo	(3) De 1500 a 2500	0	2	1
101	(4) 40 a 45	(5) altissimo	(3) De 1500 a 2500	0	1	1
102	(1) <=24	(5) altissimo	(2) <1500	0	0	0
103	(2) 25 a 34	(3) medio	(4) De 2501 a 5000	0	0	0
104	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	1
105	(1) <=24	(5) altissimo	(3) De 1500 a 2500	0	2	0
106	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
107	sem informacao	(5) altissimo	(1) nao informado	0	1	0
108	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	1	0
109	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	1	0
110	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
111	(5) >=46	(3) medio	(5) 5001 a 7000	0	0	0
112	(5) >=46	(4) alto	(3) De 1500 a 2500	0	2	1
113	(2) 25 a 34	(3) medio	(2) <1500	0	0	1
114	(3) 35 a 39	(2) baixo	(6) >7000	0	3 ou mais	0
115	(2) 25 a 34	(3) medio	(2) <1500	0	0	0
116	(3) 35 a 39	(5) altissimo	(3) De 1500 a 2500	0	1	0
117	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	1	0
118	(4) 40 a 45	(5) altissimo	(3) De 1500 a 2500	0	0	0
119	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	1	0
120	(2) 25 a 34	(5) altissimo	(4) De 2501 a 5000	0	0	0
121	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	2	0
122	(4) 40 a 45	(3) medio	(4) De 2501 a 5000	0	3 ou mais	0
123	(5) >=46	(3) medio	(3) De 1500 a 2500	0	1	1
124	(2) 25 a 34	(2) baixo	(5) 5001 a 7000	0	0	0
125	(5) >=46	(4) alto	(3) De 1500 a 2500	0	1	0
126	(5) >=46	(3) medio	(4) De 2501 a 5000	0	2	0
127	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	0	1
128	(1) <=24	(4) alto	(3) De 1500 a 2500	0	1	0
129	(2) 25 a 34	(4) alto	(4) De 2501 a 5000	0	0	0
130	(1) <=24	(4) alto	(3) De 1500 a 2500	0	0	0
131	(3) 35 a 39	(4) alto	(3) De 1500 a 2500	0	0	1
132	(5) >=46	(3) medio	(3) De 1500 a 2500	0	1	0
133	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	0	0
134	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	1	0
135	(5) >=46	(2) baixo	(5) 5001 a 7000	0	3 ou mais	0
136	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	2	0
137	(4) 40 a 45	(5) altissimo	(5) 5001 a 7000	0	0	1
138	(5) >=46	(3) medio	(2) <1500	0	1	0
139	sem informacao	(5) altissimo	(1) nao informado	0	0	0
140	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	1	0
141	(5) >=46	(3) medio	(4) De 2501 a 5000	0	0	0
142	(3) 35 a 39	(4) alto	(5) 5001 a 7000	0	2	0
143	(5) >=46	(2) baixo	(3) De 1500 a 2500	0	0	0
144	sem informacao	(4) alto	(4) De 2501 a 5000	0	1	0
145	sem informacao	(5) altissimo	(1) nao informado	0	1	0
146	(4) 40 a 45	(5) altissimo	(4) De 2501 a 5000	0	1	0
147	sem informacao	(5) altissimo	(1) nao informado	0	2	0
148	sem informacao	(5) altissimo	(4) De 2501 a 5000	0	0	1
149	(5) >=46	(4) alto	(3) De 1500 a 2500	0	1	0
150	sem informacao	(5) altissimo	(1) nao informado	0	1	0
151	sem informacao	(5) altissimo	(1) nao informado	0	0	0
152	(4) 40 a 45	(3) medio	(4) De 2501 a 5000	0	1	0
153	sem informacao	(5) altissimo	(1) nao informado	0	0	0
154	(3) 35 a 39	(4) alto	(3) De 1500 a 2500	0	0	0
155	(3) 35 a 39	(5) altissimo	(3) De 1500 a 2500	0	3 ou mais	1
156	(5) >=46	(3) medio	(3) De 1500 a 2500	0	0	0
157	(5) >=46	(2) baixo	(5) 5001 a 7000	0	0	0
158	(2) 25 a 34	(4) alto	(4) De 2501 a 5000	0	3 ou mais	1
159	(1) <=24	(5) altissimo	(4) De 2501 a 5000	0	0	0
160	sem informacao	(5) altissimo	(1) nao informado	0	0	0
161	(3) 35 a 39	(3) medio	(5) 5001 a 7000	0	1	0
162	(1) <=24	(2) baixo	(5) 5001 a 7000	0	3 ou mais	1
